iter	Logloss
0	0.6891981658
1	0.6848280056
2	0.6807425078
3	0.6768700596
4	0.6730845107
5	0.669284379
6	0.6652860839
7	0.6619538051
8	0.6584450928
9	0.6548617034
10	0.6515703699
11	0.6484642311
12	0.6454222492
13	0.6423491112
14	0.6391806771
15	0.6365695326
16	0.633629422
17	0.6309635954
18	0.6283754884
19	0.6260675183
20	0.6235557693
21	0.6212145206
22	0.618858144
23	0.6163636854
24	0.614066226
25	0.6116739104
26	0.6093024244
27	0.6074588416
28	0.6057901609
29	0.6036451833
30	0.6015723277
31	0.5999399657
32	0.5980798049
33	0.596231538
34	0.5948472164
35	0.5933305132
36	0.5917213164
37	0.5899245366
38	0.5881274621
39	0.5864396095
40	0.5846871218
41	0.5834406455
42	0.5820153745
43	0.5804135976
44	0.5793251205
45	0.5777897323
46	0.5765141203
47	0.5753110475
48	0.5738892998
49	0.5726778241
50	0.5715601281
51	0.5705098358
52	0.5694135735
53	0.5685158016
54	0.5673045212
55	0.566078362
56	0.5648441512
57	0.5638195322
58	0.5628917942
59	0.5624985125
60	0.5615960896
61	0.5607977916
62	0.5600168445
63	0.559014741
64	0.5579897832
65	0.5570602423
66	0.5561745634
67	0.5553699665
68	0.5546334635
69	0.553844763
70	0.5531427758
71	0.5523348155
72	0.5514665455
73	0.5507048943
74	0.5499923861
75	0.5492362236
76	0.5485653645
77	0.5478122273
78	0.5469728103
79	0.5463589466
80	0.5458646377
81	0.5451066288
82	0.5445289794
83	0.5440956179
84	0.5433156216
85	0.5428803143
86	0.5424065421
87	0.5418627316
88	0.5413120396
89	0.5407615946
90	0.5402460026
91	0.5397822779
92	0.5394009294
93	0.5388911631
94	0.538533476
95	0.5381505718
96	0.5375896961
97	0.5372335731
98	0.5367923167
99	0.5362497475
100	0.5357773616
101	0.5354197393
102	0.5350432747
103	0.5346596315
104	0.5344156759
105	0.5339966124
106	0.5336615305
107	0.5332029937
108	0.532823031
109	0.5324493026
110	0.5321850722
111	0.5317800765
112	0.5314434978
113	0.5311927459
114	0.5307533071
115	0.5303963418
116	0.5300549437
117	0.5297344128
118	0.5294707275
119	0.5291618309
120	0.5288673922
121	0.5285555707
122	0.5282511289
123	0.5279242135
124	0.5276663659
125	0.5274489574
126	0.5272133885
127	0.5268773638
128	0.5264561925
129	0.5261834646
130	0.5258991342
131	0.5258306288
132	0.5255108635
133	0.5252675043
134	0.5250123571
135	0.5246431656
136	0.5243425131
137	0.5241707055
138	0.5239821618
139	0.5237610107
140	0.5235926311
141	0.523325968
142	0.5230551175
143	0.5228715703
144	0.5226019372
145	0.5224268396
146	0.5220858964
147	0.5218255896
148	0.5215764873
149	0.5213979505
150	0.5212389197
151	0.5210503934
152	0.5207108144
153	0.5205356816
154	0.5203345849
155	0.5201441579
156	0.5199538276
157	0.5197292618
158	0.519472396
159	0.5193139934
160	0.5192019854
161	0.518985539
162	0.5188190247
163	0.5186506233
164	0.5185032491
165	0.5183155823
166	0.5182206072
167	0.5180129929
168	0.5178120264
169	0.5176352796
170	0.5174976073
171	0.5174815313
172	0.5173067813
173	0.5171195549
174	0.5169607869
175	0.5167013017
176	0.5165481596
177	0.5163933422
178	0.5162622205
179	0.5161416257
180	0.5160462117
181	0.5159004365
182	0.5157949131
183	0.515588345
184	0.5154530587
185	0.5153128886
186	0.5151428022
187	0.5149708027
188	0.5148322163
189	0.514710037
190	0.5145861214
191	0.5144481367
192	0.514320635
193	0.5142562949
194	0.514052503
195	0.5139407634
196	0.513819753
197	0.5136620065
198	0.5135321898
199	0.5134257903
200	0.5133362723
201	0.5132606635
202	0.51317619
203	0.5130476881
204	0.512931986
205	0.5127172644
206	0.5125410306
207	0.5124387857
208	0.5123024359
209	0.5121796328
210	0.5120263494
211	0.5119067617
212	0.5117984724
213	0.5117000783
214	0.5115824914
215	0.5114865075
216	0.5113084472
217	0.5111793697
218	0.5110533926
219	0.5109581773
220	0.5108199024
221	0.5107025522
222	0.5105106727
223	0.5103139591
224	0.5101894941
225	0.5100559066
226	0.5099678261
227	0.509896904
228	0.5098094381
229	0.5096889748
230	0.5095998222
231	0.5094709121
232	0.5093931502
233	0.5093092701
234	0.5091760121
235	0.5090609578
236	0.5089920826
237	0.5088331929
238	0.5087488136
239	0.5087101194
240	0.5086075158
241	0.508550894
242	0.5083555309
243	0.5082859256
244	0.5081645191
245	0.5080793816
246	0.5079454526
247	0.5078336768
248	0.5077468092
249	0.507643565
250	0.5075511253
251	0.5074978968
252	0.5074155667
253	0.507382143
254	0.5073150992
255	0.5072297991
256	0.5071621513
257	0.5070619081
258	0.5069290315
259	0.5068436611
260	0.5067964873
261	0.5067303445
262	0.5066392125
263	0.5065804848
264	0.5065190366
265	0.5064243086
266	0.5063720932
267	0.5062536157
268	0.5062036777
269	0.5061477317
270	0.5060553487
271	0.5060078984
272	0.5058482132
273	0.5057024326
274	0.505614267
275	0.5055576082
276	0.5054767548
277	0.5053477731
278	0.505244686
279	0.5051437808
280	0.5050605188
281	0.504986566
282	0.5049485567
283	0.504897279
284	0.5048193274
285	0.5047513488
286	0.5046806118
287	0.5045459604
288	0.5044743835
289	0.5043789942
290	0.5042785799
