iter	Passed	Remaining
0	2	2270
1	4	2167
2	6	2004
3	7	1845
4	8	1760
5	10	1709
6	11	1673
7	13	1693
8	15	1742
9	19	1939
10	21	1901
11	22	1873
12	24	1846
13	26	1832
14	27	1791
15	28	1775
16	30	1758
17	31	1731
18	33	1707
19	34	1684
20	35	1659
21	36	1634
22	37	1612
23	39	1603
24	41	1601
25	43	1628
26	44	1620
27	46	1608
28	47	1586
29	48	1573
30	49	1558
31	51	1549
32	52	1541
33	54	1537
34	56	1544
35	57	1535
36	58	1531
37	60	1523
38	61	1513
39	62	1502
40	63	1492
41	64	1481
42	66	1471
43	67	1461
44	68	1456
45	69	1451
46	71	1444
47	72	1438
48	73	1430
49	74	1422
50	76	1414
51	77	1406
52	78	1400
53	79	1393
54	80	1386
55	81	1379
56	83	1378
57	84	1377
58	86	1376
59	87	1365
60	88	1364
61	89	1359
62	91	1353
63	92	1348
64	93	1342
65	94	1336
66	95	1330
67	96	1325
68	98	1323
69	99	1323
70	100	1319
71	102	1314
72	103	1312
73	104	1307
74	105	1301
75	106	1297
76	107	1292
77	108	1288
78	110	1284
79	111	1280
80	112	1276
81	114	1278
82	115	1275
83	116	1271
84	117	1270
85	119	1269
86	120	1265
87	121	1261
88	122	1258
89	124	1254
90	125	1251
91	126	1246
92	127	1243
93	128	1243
94	130	1247
95	132	1244
96	133	1241
97	134	1238
98	135	1235
99	136	1231
100	137	1227
101	139	1224
102	140	1220
103	141	1216
104	142	1216
105	144	1220
106	146	1219
107	147	1218
108	148	1217
109	150	1215
110	151	1215
111	153	1213
112	154	1210
113	155	1206
114	156	1204
115	158	1204
116	159	1203
117	160	1201
118	162	1199
119	163	1198
120	164	1196
121	166	1194
122	167	1194
123	168	1192
124	170	1190
125	171	1188
126	173	1190
127	174	1190
128	176	1189
129	177	1188
130	178	1186
131	179	1181
132	181	1179
133	182	1178
134	183	1176
135	185	1177
136	186	1176
137	188	1176
138	189	1174
139	190	1171
140	191	1169
141	193	1167
142	194	1166
143	196	1165
144	197	1163
145	198	1162
146	200	1160
147	201	1159
148	202	1158
149	204	1156
150	206	1159
151	207	1157
152	208	1155
153	209	1153
154	211	1151
155	212	1150
156	214	1152
157	215	1150
158	217	1149
159	218	1148
160	220	1146
161	221	1145
162	222	1143
163	223	1141
164	225	1139
165	226	1137
166	227	1135
167	228	1133
168	230	1134
169	232	1133
170	233	1131
171	234	1127
172	235	1124
173	236	1122
174	237	1120
175	238	1118
176	240	1116
177	241	1114
178	242	1112
179	243	1110
180	245	1109
181	246	1108
182	248	1107
183	249	1105
184	250	1103
185	251	1102
186	253	1101
187	254	1100
188	256	1098
189	257	1096
190	258	1094
191	259	1093
192	261	1093
193	263	1092
194	264	1093
195	266	1091
196	267	1089
197	268	1086
198	269	1084
199	270	1082
200	271	1080
201	272	1078
202	274	1078
203	277	1083
204	279	1082
205	280	1081
206	281	1079
207	283	1078
208	284	1077
209	285	1075
210	287	1073
211	288	1071
212	290	1072
213	291	1071
214	292	1069
215	294	1067
216	295	1066
217	296	1064
218	297	1062
219	299	1060
220	300	1058
221	301	1056
222	302	1054
223	304	1054
224	305	1053
225	307	1052
226	308	1051
227	309	1049
228	310	1046
229	312	1044
230	313	1042
231	314	1040
232	315	1038
233	317	1037
234	318	1037
235	320	1036
236	321	1035
237	323	1034
238	325	1035
239	326	1034
240	327	1032
241	329	1031
242	330	1028
243	331	1027
244	332	1026
245	334	1024
246	335	1023
247	336	1021
248	338	1020
249	339	1018
250	340	1017
251	342	1015
252	343	1014
253	344	1012
254	346	1012
255	347	1010
256	349	1009
257	350	1007
258	351	1005
259	352	1004
260	353	1002
261	355	1000
262	356	998
263	357	996
264	358	995
265	359	993
266	362	994
267	363	992
268	364	991
269	366	990
270	367	988
271	368	986
272	369	984
273	370	982
274	371	980
275	373	978
276	374	977
277	376	976
278	377	975
279	378	974
280	380	973
281	381	971
282	383	970
283	384	969
284	385	967
285	386	965
286	387	963
287	388	961
288	390	959
289	391	958
290	392	957
291	394	955
292	395	954
293	396	952
294	397	950
295	398	948
296	399	946
297	401	944
298	402	943
299	403	941
300	404	939
301	405	937
302	407	936
303	408	934
304	409	933
305	410	931
